1,100,100
2,41,41
3,97,97
4,98,98
5,48,48
6,6,6
7,5,5
8,46,46
9,42,42
10,82,82
11,96,96
12,89,89
13,78,78
14,87,87
15,98,98
16,52,52
17,78,78
18,55,55
19,30,30
20,42,42
21,63,63
22,54,54
23,19,19
24,36,36
25,62,62
26,61,61
27,30,30
28,71,71
29,66,66
30,70,70
31,85,85
32,31,31
33,65,65
34,33,33
35,15,15
36,82,82
37,35,35
38,29,29
39,53,53
40,88,88
41,36,36
42,94,94
43,63,63
44,71,71
45,31,31
46,12,12
47,49,49
48,54,54
49,55,55
50,58,58
51,84,84
52,26,26
53,23,23
54,84,84
55,37,37
56,39,39
57,2,2
58,52,52
59,28,28
60,9,9
61,94,94
62,80,80
63,29,29
64,34,34
65,72,72
66,83,83
67,66,66
68,27,27
69,100,100
70,96,96
71,11,11
72,57,57
73,68,68
74,24,24
75,10,10
76,60,60
77,56,56
78,2,2
79,35,35
80,71,71
81,70,70
82,54,54
83,7,7
84,77,77
85,89,89
86,71,71
87,61,61
88,55,55
89,87,87
90,73,73
91,40,40
92,94,94
93,28,28
94,13,13
95,11,11
96,41,41
97,14,14
98,58,58
99,56,56
100,15,15
101,23,23
102,18,18
103,80,80
104,80,80
105,73,73
106,77,77
107,97,97
108,14,14
109,36,36
110,91,91
111,58,58
112,76,76
113,79,79
114,2,2
115,89,89
116,29,29
117,43,43
118,2,2
119,69,69
120,39,39
121,96,96
122,90,90
123,42,42
124,53,53
125,74,74
126,83,83
127,89,89
128,68,68
129,27,27
130,26,26
131,21,21
132,7,7
133,61,61
134,13,13
135,1,1
136,21,21
137,25,25
138,8,8
139,12,12
140,38,38
141,50,50
142,62,62
143,44,44
144,90,90
145,82,82
146,76,76
147,50,50
148,35,35
149,32,32
150,72,72
151,73,73
152,56,56
153,26,26
154,57,57
155,46,46
156,52,52
157,95,95
158,34,34
159,27,27
160,54,54
161,18,18
162,71,71
163,78,78
164,61,61
165,68,68
166,25,25
167,66,66
168,80,80
169,71,71
170,37,37
171,45,45
172,7,7
173,97,97
174,13,13
175,65,65
176,71,71
177,38,38
178,95,95
179,71,71
180,68,68
181,83,83
182,4,4
183,15,15
184,31,31
185,62,62
186,36,36
187,2,2
188,21,21
189,71,71
190,9,9
191,96,96
192,9,9
193,16,16
194,36,36
195,84,84
196,55,55
197,51,51
198,65,65
199,22,22
200,52,52
